2021-10-15 10:48:27	--	719	--	PeterBismonte	--	EmployeeController	--	update	--	Error	--	Call to undefined method Illuminate\Database\Eloquent\Builder::replicate()

2021-10-15 14:34:16    |    User: (719) Peter Bismonte    |    LeaveBalanceController (store)    |    Error    |    Array to string conversion

2021-10-18 11:33:52    |    User: (719) Peter Bismonte    |    LeaveController (cancelApp)    |    Error    |    Undefined property: Illuminate\Database\Query\Builder::$id

2021-10-18 11:37:51    |    User: (719) Peter Bismonte    |    LeaveController (cancelApp)    |    Error    |    Object of class Illuminate\Database\Query\Builder could not be converted to string

2021-10-18 11:40:57    |    User: (719) Peter Bismonte    |    LeaveController (cancelApp)    |    Error    |    Call to undefined method Illuminate\Database\Query\Builder::save()

2021-10-28 08:26:34    |    User: (719) Peter Bismonte    |    EmployeeController (update)    |    Error    |    Invalid argument supplied for foreach()

2021-10-28 08:27:36    |    User: (719) Peter Bismonte    |    EmployeeController (update)    |    Error    |    Invalid argument supplied for foreach()

2021-10-28 08:45:23    |    User: (719) Peter Bismonte    |    EmployeeController (update)    |    Error    |    Invalid argument supplied for foreach()

2021-10-28 08:59:11    |    User: (719) Peter Bismonte    |    EmployeeController (update)    |    Error    |    Invalid argument supplied for foreach()

2021-10-28 08:59:23    |    User: (719) Peter Bismonte    |    EmployeeController (update)    |    Error    |    Invalid argument supplied for foreach()

2021-10-28 09:37:29    |    User: (719) Peter Bismonte    |    EmployeeController (update)    |    Error    |    Invalid argument supplied for foreach()

2021-10-28 09:50:15    |    User: (719) Peter Bismonte    |    EmployeeController (update)    |    Error    |    Invalid argument supplied for foreach()

2021-10-28 11:01:23    |    User: (719) Peter Bismonte    |    EmployeeController (update)    |    Error    |    Add [employee_id] to fillable property to allow mass assignment on [App\employee_status_history].

